,id,acbid,team_home_id,team_away_id,competition_phase,round_phase,journey,venue,attendance,kickoff_time,score_home,score_away,score_home_first,score_away_first,score_home_second,score_away_second,score_home_third,score_away_third,score_home_fourth,score_away_fourth,score_home_extra,score_away_extra,db_flag
0,1,61001,1,11,regular,,1,Gran Canaria Arena,8549.0,2016-10-02 18:30:00,81,92,20.0,17.0,15.0,19.0,22.0,28.0,24.0,28.0,,,
1,2,61002,2,6,regular,,1,WiZink Center,7868.0,2016-10-01 19:00:00,82,95,11.0,22.0,22.0,26.0,21.0,27.0,28.0,20.0,,,
2,3,61003,10,7,regular,,1,WiZink Center,9145.0,2016-09-30 20:00:00,101,90,26.0,24.0,31.0,26.0,14.0,23.0,30.0,17.0,,,
3,4,61004,8,5,regular,,1,Pavello Nou Congost,3980.0,2016-10-02 12:30:00,50,56,5.0,9.0,10.0,14.0,16.0,17.0,19.0,16.0,,,
4,5,61005,12,3,regular,,1,,5439.0,2016-10-01 20:00:00,76,92,20.0,30.0,19.0,22.0,14.0,24.0,23.0,16.0,,,
5,6,61006,9,13,regular,,1,Polideportivo Fernando Martin,4096.0,2016-10-02 12:30:00,80,89,18.0,23.0,13.0,24.0,23.0,26.0,26.0,16.0,,,
6,7,61007,16,15,regular,,1,Palacio Municipal De Deportes,5586.0,2016-10-02 12:30:00,67,65,15.0,16.0,16.0,11.0,16.0,28.0,20.0,10.0,,,
7,8,61008,14,17,regular,,1,Pabellón Príncipe Felipe,6276.0,2016-10-02 12:30:00,68,80,18.0,24.0,25.0,18.0,9.0,15.0,16.0,23.0,,,
8,9,61009,4,1,regular,,2,M.I. Govern Andorra,3873.0,2016-10-06 21:00:00,97,89,23.0,23.0,20.0,34.0,25.0,15.0,29.0,17.0,,,
9,10,61010,3,16,regular,,2,Fernando Buesa Arena,9054.0,2016-10-07 19:15:00,87,75,10.0,23.0,12.0,14.0,33.0,14.0,32.0,24.0,,,
10,11,61011,13,2,regular,,2,Bilbao Arena,8103.0,2016-10-07 19:15:00,79,74,22.0,25.0,20.0,12.0,21.0,23.0,16.0,14.0,,,
11,12,61012,7,14,regular,,2,Pal. De Deportes Jose Ma Martin Carpena,6768.0,2016-10-07 21:30:00,71,80,17.0,11.0,17.0,19.0,19.0,22.0,18.0,28.0,,,
12,13,61013,15,9,regular,,2,Palacio Mun. De Deportes De Badalona,3625.0,2016-10-07 19:15:00,65,82,17.0,17.0,18.0,21.0,13.0,15.0,17.0,29.0,,,
13,14,61014,17,10,regular,,2,Pabellon Municipal Fuente San Luis,8500.0,2016-10-06 20:00:00,75,94,17.0,23.0,19.0,19.0,18.0,34.0,21.0,18.0,,,
14,15,61015,6,8,regular,,2,Palacio Municipal Deportes San Pablo,4108.0,2016-10-06 20:30:00,75,80,14.0,18.0,16.0,15.0,19.0,22.0,26.0,25.0,,,
15,16,61016,11,12,regular,,2,Pab. Mun. S/C Tenerife,3747.0,2016-10-07 21:30:00,70,55,9.0,10.0,16.0,18.0,24.0,17.0,21.0,10.0,,,
16,17,61017,4,15,regular,,3,M.I. Govern Andorra,3915.0,2016-10-09 12:30:00,92,73,21.0,24.0,25.0,20.0,29.0,18.0,17.0,11.0,,,
17,18,61018,5,3,regular,,3,,0.0,2016-10-09 17:00:00,98,92,30.0,27.0,17.0,20.0,14.0,17.0,14.0,8.0,,,
18,19,61019,1,17,regular,,3,Gran Canaria Arena,7012.0,2016-10-09 19:00:00,75,84,18.0,22.0,18.0,15.0,21.0,24.0,18.0,23.0,,,
