,id,team_id,name,season
0,1,1,HERBALIFE GRAN CANARIA,2016
1,2,2,MOVISTAR ESTUDIANTES,2016
2,3,3,BASKONIA,2016
3,4,4,MORABANC ANDORRA,2016
4,5,5,FC BARCELONA LASSA,2016
5,6,6,REAL BETIS ENERGÍA PLUS,2016
6,7,7,UNICAJA,2016
7,8,8,ICL MANRESA,2016
8,9,9,MONTAKIT FUENLABRADA,2016
9,10,10,REAL MADRID,2016
10,11,11,IBEROSTAR TENERIFE,2016
11,12,12,RIO NATURA MONBUS OBRADOIRO,2016
12,13,13,RETABET BILBAO BASKET,2016
13,14,14,TECNYCONTA ZARAGOZA,2016
14,15,15,DIVINA SEGUROS JOVENTUT,2016
15,16,16,UNIVERSIDAD CATÓLICA DE MURCIA,2016
16,17,17,VALENCIA BASKET,2016
17,18,6,REAL BETIS ENERGíA PLUS,2016
18,19,13,DOMINION BILBAO BASKET,2016
19,20,16,UCAM MURCIA CB,2016
20,21,17,VALENCIA BASKET CLUB,2016
21,22,1,HERBALIFE GRAN CANARIA,2015
22,23,15,FIATC JOVENTUT,2015
23,24,18,RETABET.ES GBC,2015
24,25,6,BALONCESTO SEVILLA,2015
25,26,4,MORABANC ANDORRA,2015
26,27,13,DOMINION BILBAO BASKET,2015
27,28,7,UNICAJA,2015
28,29,2,MOVISTAR ESTUDIANTES,2015
29,30,9,MONTAKIT FUENLABRADA,2015
30,31,10,REAL MADRID,2015
31,32,11,IBEROSTAR TENERIFE,2015
32,33,12,RIO NATURA MONBUS OBRADOIRO,2015
33,34,5,FC BARCELONA LASSA,2015
34,35,17,VALENCIA BASKET,2015
35,36,3,LABORAL KUTXA BASKONIA,2015
36,37,16,UNIVERSIDAD CATÓLICA DE MURCIA,2015
37,38,8,ICL MANRESA,2015
38,39,14,CAI ZARAGOZA,2015
39,40,17,VALENCIA BASKET CLUB,2015
40,41,16,UCAM MURCIA CB,2015
41,42,15,FIATC JOVENTUT,2014
42,43,1,HERBALIFE GRAN CANARIA,2014
43,44,5,FC BARCELONA,2014
44,45,8,LA BRUIXA D'OR MANRESA,2014
45,46,4,MORABANC ANDORRA,2014
